South Africa,ZAF,-29,24,8.341332103,8.280764795,9.870596936,9.190698716,9.004033387,8.845033039,8.673962823,8.980119297
Spain,ESP,40,-4,5.624190007,7.257824346,6.216973378,5.816416366,5.788018458,5.660938803,5.084398353,5.033824487
Sri Lanka,LKA,7,81,0.223239992,0.545112224,0.656312556,0.656664382,0.745132332,0.784926512,0.752460918,0.885247473
St. Kitts and Nevis,KNA,17.3333,-62.75,2.604275849,3.79840878,4.395845616,4.276800467,4.442198977,4.18360556,4.207094359,4.2989449
St. Lucia,LCA,13.8833,-61.1333,1.167623114,2.102784981,2.251377016,2.33729285,2.341553914,2.3281208,2.31718661,2.307191321
St. Vincent and the Grenadines,VCT,13.25,-61.2,0.750420911,1.359432056,2.852965136,2.012715547,1.811013252,2.314347651,1.911992316,1.91134541
Sudan,SDN,15,30,0.202623461,0.159133714,0.346451108,0.345245386,0.330142237,0.300706838,0.309687395,0.299732598
Suriname,SUR,4,-56,4.346706031,4.64982959,3.845772052,4.565427302,3.704326087,4.205862474,3.534930143,3.634019433
Sweden,SWE,62,15,6.069368319,5.562430083,4.63141136,5.547348052,5.474957121,4.942300828,4.671420785,4.478182178
Switzerland,CHE,47,8,6.345085168,5.435484985,5.377973641,4.983428945,4.672038363,4.723574287,4.972835876,4.311562994
Syrian Arab Republic,SYR,35,38,3.001677865,3.11019717,2.993132594,2.930971337,2.727578225,2.190427547,1.839503237,1.598898459
Tajikistan,TJK,39,71,..,0.359844954,0.328286153,0.33303078,0.300737249,0.366926485,0.425539775,0.620466725
Tanzania,TZA,-6,35,0.089011832,0.077571471,0.132511808,0.154161892,0.170126457,0.194470623,0.220730008,0.221347372
Thailand,THA,15,100,1.604831986,2.879232989,4.001129215,4.19478194,4.12138946,4.371765415,4.403807563,4.621860032
Timor-Leste,TLS,-8.55,125.5167,..,..,0.20819563,0.211508565,0.217131247,0.253604896,0.371540554,0.387014002
Togo,TGO,8,1.1667,0.204317206,0.273713591,0.439659634,0.40600638,0.368935463,0.362450984,0.377480424,0.362696892
Tonga,TON,-20,-175,0.809296607,0.972064191,1.274197907,1.126823319,0.981822007,1.013263332,1.079266672,1.143965892
Trinidad and Tobago,TTO,11,-61,13.93393977,18.80084212,33.96978628,36.09293276,35.16208791,33.85500019,34.52003192,34.16324263
Tunisia,TUN,34,9,1.611506515,2.054068084,2.355950493,2.59965793,2.417981861,2.480445624,2.511904245,2.587059584
Turkey,TUR,39,35,2.705007348,3.417945943,3.894702792,4.120214807,4.370560958,4.419487888,4.285300843,4.491479026
Turkmenistan,TKM,40,60,..,8.312221014,10.05213231,11.26148537,12.07317521,12.31489744,12.43613272,12.51729534
Turks and Caicos Islands,TCA,21.75,-71.5833,2.539473684,3.691675939,5.940915854,6.15228754,6.009391447,6.105824674,5.980971366,6.086487448
Tuvalu,TUV,-8,178,0.81461735,0.778556263,1.053634709,0.696420093,0.690063982,1.025734266,1.016822257,1.008525853
Uganda,UGA,1,32,0.043527327,0.059491397,0.103166875,0.1155833,0.121524015,0.112110416,0.129674909,0.134656001
Ukraine,UKR,49,32,..,6.525618775,5.647810472,6.641349685,6.265962311,6.487602806,5.976641848,5.020747064
United Arab Emirates,ARE,24,54,27.95924521,35.67825923,21.90855608,19.44369027,19.07648878,19.81768422,18.95416379,23.30202251
United Kingdom,GBR,54,-2,9.710881678,9.199549233,7.574622131,7.857836486,7.079297626,7.355898277,7.145844359,6.49744049
United States,USA,38,-97,19.32275118,20.17875051,17.15773779,17.44286171,16.97695728,16.3104711,16.32347679,16.50283724
Uruguay,URY,-33,-56,1.284044091,1.597638536,2.396863881,1.893043387,2.292941862,2.559619604,2.226235877,1.973150822
Uzbekistan,UZB,41,64,..,4.942262235,3.858171993,3.647048882,3.874800916,3.889733195,3.417442433,3.420722746
Vanuatu,VUT,-16,167,0.450141168,0.455742099,0.52434517,0.512118327,0.545795073,0.459328848,0.42009228,0.594993239
"Venezuela, RB",VEN,8,-66,6.150574395,6.224289682,6.289128331,6.513376914,6.00145924,6.649233468,6.066461313,6.025697582
Vietnam,VNM,16,106,0.313855299,0.668171732,1.469012678,1.613359582,1.701422283,1.572337982,1.609111593,1.80356575
West Bank and Gaza,PSE,32,35.25,..,0.271057676,0.564577775,0.534014834,0.572406877,0.543675272,0.584854657,..
"Yemen, Rep.",YEM,15,48,0.795928337,0.819163987,1.069059495,0.992601744,0.810900295,0.749446818,0.99688497,0.864834535
Zambia,ZMB,-15,30,0.304698133,0.173056761,0.186396423,0.194337299,0.205910778,0.249456851,0.26111253,0.288271141
Zimbabwe,ZWE,-20,30,1.536212158,1.139200872,0.405715639,0.552146242,0.66475077,0.529703431,0.775563675,0.779955845
